post_id	comment_id	answer
6	6	Ураган и пожары
7	10	«Юта Джаз» и «Сент-Луис Блюз»
17	27	PS (PlayStation)
19	30	Кофемания
127	223	А что вы тут делаете, а?
130	239	Мэджик
141	252	Джерси
142	255	Титан
157	364	Тарелочница
178	423	Европа
180	451	«Рождение Венеры»
181	459	Броски
187	485	Сиэтл
206	535	Додо
213	553	Садио Мане
251	645	Эрлинг Холанд
261	669	Нахождение на территории Европы
262	667	Клубы из Лондона
263	673	Дан Петреску
264	681	Хетафе
265	688	Кедровая шишка
285	737	Неманья Видич
291	760	Соло 322
294	772	Зенит
301	788	Car и van
302	791	F1
320	821	Тима
321	825	Гантели
326	843	Угол круга
327	847	Контенто
330	851	Балтимор
355	906	Сосиски
356	913	«Сотворение Адама»
367	931	1:1
371	966	147
374	976	Санта-Крус
388	1007	Мак
392	1025	Лондон
399	1043	Молния Маккуин
415	1083	Подкаст
417	1098	Тринадцатая
418	1103	Работнички
421	1112	Яблоко
431	1130	Анубис
437	1156	Станции Московского метрополитена
438	1158	Исландия
441	1176	Красные и белые
450	1196	Араб
452	1215	Keane
454	1220	Игровые футболки «Барселоны»
467	1262	Стрельба из лука
468	1272	Шерлок Холмс
469	1291	C-3PO
473	1323	Ламар
474	1332	Урна
505	1448	Надежда Скардино
507	1459	MrBeast
508	1461	Ордер
509	1466	BBC
511	1483	Chevalier (шевалье)
512	1490	Bleachers
514	1494	Тушинский вор
516	1508	NCAA
517	1514	Сергей Тетюхин
518	1518	Лара Крофт
519	1527	Jets
520	1530	Sofascore
524	1570	Пофигу
527	1578	Снукер
535	1607	Батурина
542	1619	Вынес икону
544	1627	Феофан Грек
545	1634	Мор
551	1657	По цветам костюмов: оранжевый, красный, фиолетовый
552	1660	Фелипе Масса
553	1668	Министр обороны
555	1673	Лицо со шрамом
561	1686	Deep Blue
567	1698	Объявит о выдвижении в президенты
568	1706	Кикер
569	1709	БАТЭ
570	1715	Лысенко
572	1728	Вопрос (question)
587	1781	Мозгов
588	1793	Оливье Жиру
589	1796	Gascoigne / Гасконец
594	1806	Шрек
601	1828	Бей-беги
604	1835	Семифутеры
607	1843	Навка
611	1858	Route 66
613	1860	Татьяна Лебедева
617	1870	Сан-Себастьян
618	1874	Летние и зимние Олимпийские игры
620	1884	2021
623	1890	Кубок Поршня
624	1896	Марк Селби
625	1898	Каин
628	1908	Георгий Победоносец
664	1977	Пересадка в Турции
669	2000	Андрей Аршавин
682	2023	Олимпийский факел
684	2026	Перспектива
717	2103	Грузия
718	2108	Марсело Бьельса
