post_id	mechanic	areas	solution_chain	difficulty	repeatability
6	Ироническое совпадение названия и события	NHL + природные явления	Названия «Харрикейнз» и «Флэймз» → реальные причины переносов матчей → ураган и пожары	4	Высокая
7	Многозначное название команды	Американский спорт + музыка	Названия клубов совпадают с жанрами → Utah Jazz и St. Louis Blues → джаз и блюз	4	Высокая
17	Хронология визуального брендинга	Футбол + видеоигры + реклама	Цифры у рекламного знака меняются по поколениям консоли → логотип PlayStation	6	Средняя
19	Медийное событие через бренд	Футбол + рестораны + новости	Российские футболисты и громкий инцидент 2018 года → сеть ресторанов «Кофемания»	4	Средняя
35	Этимология фамилий	Баскетбол + русский язык	Значения «живот» и «верхние листья капусты» → фамилии Моня и Хряпа	5	Высокая
50	Общий термин в биографиях	Футбол + баскетбол + история предметов	Ваньяма и Вембаньяма → общий спортивный термин → предмет с зубчатым колесиком	7	Средняя
127	Восстановление цитаты	Теннис + советское кино	Заголовок про Мугурусу → аллюзия на фразу из фильма о пионерах → восстановление пропуска	6	Средняя
130	Имя как название команды	Баскетбол + музыка + реклама	Песня Queen в рекламе → слово Magic → Мэджик Джонсон и Orlando Magic	4	Высокая
141	Многозначное географическое слово	NBA + экипировка + география	Предмет формы клуба и прежнее название команды НБА → jersey / Джерси	4	Высокая
142	Табличная мета-шутка	Медиафутбол + турнирная таблица	Постоянная позиция 22 → название команды считывается из устройства таблицы	3	Низкая
145	Цепочка одноимённых сущностей	Футбол + автомобили + спортивные медиа	Игроки, автомобильный образ и комментатор → общий именованный объект	7	Средняя
157	Контекстная многозначность	Стрелковый спорт + интернет-сленг	Оскорбительный бытовой термин → стрельба по тарелочкам → «тарелочница»	5	Высокая
178	Многозначный топоним	Живопись + футбол + география	«Похищение Европы» → футболисты вне Европы → физическое нахождение в Европе	4	Высокая
180	Совпадение имени	Живопись + теннис	Первое событие в жизни Венеры → «Рождение Венеры» Боттичелли и рождение Винус Уильямс	4	Высокая
181	Межъязыковой каламбур	Язык + игровые виды спорта	Английское broski «братишка» → кириллическое «броски» → действия в петанке, дартсе и водном поло	4	Высокая
187	Название песни + спортивный город	Музыка + NBA	Одинаковое название треков → Seattle → город Seattle SuperSonics	5	Высокая
206	Повторяющиеся слоги	Футбол + бизнес	Предприниматель «Додо» и линия обороны «Ромы» → повтор слогов «до-до»	6	Средняя
207	Имя апостола = фамилия игрока	Религия + футбол	Недостающий двенадцатый апостол → совпадение с фамилией футболиста «Динамо»	6	Высокая
213	Каламбур на фамилиях художников	Живопись + футбол	Моне и Мане не подходят к картинам → шедевром в матче становится Мане → Садио Мане	5	Высокая
238	Символ + английская метафора	Хоккей + религия + спортивные прозвища	Необычный приз → символ христианского праздника → английское родственное слово как спортивная аббревиатура	7	Средняя
251	Восстановление объекта из текста песни	Рэп + футбол	Строчка Songer о потребности «Сити» в форварде → трансферная цель → Эрлинг Холанд	5	Средняя
261	Исключение по географическому признаку	Футбол + география + УЕФА	Сравнение Израиля, Кипра и Армении → общий признак членов УЕФА → территория вне Европы	5	Средняя
262	Числовое распределение клубов	Английский футбол + география	Количество команд по дивизионам → единственный общий город с такой раскладкой → Лондон	5	Средняя
263	Имя внутри названия произведения	Футбол + аниме	Имя футболиста дважды встречается в названии аниме → «Дан Да Дан» → Дан Петреску	6	Высокая
264	Разложение слова на химические символы	Футбол + химия + язык	Название клуба раскладывается на элементы → Fe означает железо и испанскую «веру» → «Хетафе»	6	Средняя
265	Визуальная дедукция по эмблеме	Футбол + ботаника + товары	Цена и форма предмета → небольшая округлая шишка на эмблеме клуба → кедровая шишка	5	Средняя
285	Двойное чтение надписи	Футбол + техника + римские цифры	VIDIC читается как название видеоустройства и как V-I-D-I-C → Неманья Видич	6	Средняя
286	Каламбур из характеристики игрока	Футбол + скаутинг + язык	Зрительно заметная особенность футболистов → scouting bias → наречие-каламбур из интервью	7	Средняя
291	Смена значения при добавлении участника	Киберспорт + музыка	Соло 322 → при совместном исполнении это уже не соло → локальный мем о спортсмене	5	Высокая
294	Название песни = название клуба	Музыка + футбол	Два трека с формами одного слова → трибунная песня болельщиков → «Зенит»	5	Высокая
301	Перевод спортивных сокращений	NHL + английский язык	Аббревиатуры клубов читаются как слова → CAR и VAN → автомобиль и фургон	4	Высокая
302	Название игры = клавиша	Видеоигры + компьютерная техника	Серия игр F1 → одноимённая функциональная клавиша почти не используется в игре → F1	3	Высокая
320	Разговорный синоним внутри псевдонима	Музыка + язык	Псевдоним «Тима ищет свет» → Тима как уменьшительное имя и разговорное «команда»	5	Высокая
321	Цитатная параллель	Спортивные медиа + музыка + быт	Домашний инвентарь Василия Уткина → контраст со строчкой «Кровостока» → гантели	6	Средняя
325	Общее прозвище команд	Футбол + студенческий баскетбол	Красные на северо-западе Англии и синие в Северной Каролине → Red Devils и Blue Devils	4	Высокая
326	Оксюморон из термина и фамилии	Футбол + математика	Фанатский термин «угол» + футболист Круговой → «угол круга»	4	Высокая
327	Добавление одной гласной	Футбол + медиа + язык	«Контент» + одна гласная → фамилия Контенто → игрок «Баварии» и «Бордо»	4	Высокая
330	Бренд = спортивный город	Американский спорт + бренды + география	Российский бренд «Балтимор» → город с командами NFL и MLB → отсутствие клубов трёх других лиг	4	Средняя
345	Мифологическое имя клуба	Футбол + мифология + геральдика	Римский аналог Геракла и голова в лавровом венке → испанский клуб «Эркулес»	5	Высокая
349	Совпадение фамилии	Живопись + автоспорт	Автор картин Рубенс → гонщик Рубенс Баррикелло → общее имя Рубенс	4	Высокая
355	Предмет как оскорбительный символ	Хоккей + фанатская культура	Брошенные сосиски → «мясное» прозвище команды-соперника → ответ Максима Афиногенова	5	Средняя
356	Название произведения как событие	Искусство + футбол + интернет-мемы	Мем с Роналду и Адамом → даты рождения → «Сотворение Адама»	5	Высокая
367	Числовой ребус через имя	Футбол + мифология	Бог Ра используется дважды как графическая запись одинакового счёта → 1:1	5	Высокая
371	Культовое число дисциплины	Снукер + автомобильные номера + медиа	Комментатор реагирует на номер → максимальный брейк в снукере → 147	5	Низкая
374	Имя спортсмена = топонимы	Футбол + география	Много объектов Санта-Крус → футболист Роке Санта-Крус → одноимённый мексиканский клуб	5	Высокая
387	Фамилия бога → спортивная дисциплина	Баскетбол + мифология + лёгкая атлетика	Джей Ти Тор → бог Тор и его молот → метание молота	5	Высокая
388	Единственное и множественное число	Футбол + живопись	Футболист Мак → картина Ван Гога «Маки» → проверка подсказкой о номере	5	Высокая
392	Общее название человека и города	Литература + бокс + география	Джек Лондон ранее Чейни → город Лондон ранее Августа → боксёр и место больших боёв	6	Средняя
399	Идентификация вымышленного спортсмена	Анимация + автоспорт + брендинг	Вымышленные шины и спонсоры → логотипы на машине → Молния Маккуин	3	Средняя
415	Общий новый медиаформат	Баскетбол + цифровые медиа	Падение статистики после появления собственных шоу → термин 2004 года → подкаст	5	Средняя
417	Число как имя персонажа	Кино + футбол	Оливия Уайлд и роль Тринадцатой → футболисты с номером 13 → «Тринадцатая»	4	Высокая
418	Добавление согласной к слову	История + футбол + язык	Цитата Франклина задаёт исходное слово → добавление согласной → клуб «Работнички»	6	Высокая
421	Форма логотипа + список разновидностей	NBA + география + ботаника	Старый логотип Knicks и сорта Fuji, Empire, Jonathan → яблоко → символ Нью-Йорка	3	Высокая
431	Одинаковое имя карты и божества	Киберспорт + история + мифология	Карта Counter-Strike «Anubis» → шакалоголовый бог и бальзамирование → Анубис	4	Высокая
434	Распознавание рекламного ролика	Олимпийский спорт + реклама	Видеоряд и спортсмен начала 2000-х → идентификация рекламы → восстановление слогана	7	Низкая
437	Общая категория списка	Футбол + городская инфраструктура	ЦСКА, «Локомотив», «Спартак», «Динамо» входят в перечень 271 объекта → станции метро	3	Средняя
438	Государственная символика на эмблеме	Футбол + мифология + геральдика	Четыре хранителя с герба страны → новая эмблема сборной → Исландия	5	Средняя
441	Визуальная историческая реконструкция	Шахматы + искусство + история	Агитационный фарфор 1922 года → замена традиционных сторон → красные и белые	6	Низкая
445	Служебная карточка — не вопрос	Анонс мероприятия	Рекламная карточка бесплатной игры не содержит квизового вопроса	1	Низкая
450	Эволюция игрового сленга	Киберспорт + футбол + язык	Особенность никнеймов сильных игроков FIFA → термин расширился → «араб»	5	Средняя
451	Служебная карточка — не вопрос	Анонс мероприятия	Рекламная карточка бесплатной игры не содержит квизового вопроса	1	Низкая
