postId;date;question;answer;answerSourceCommentId;answerSourceUrl;answerReactionActor;answerSourceType;answerSourceNote;manualCatalogId;postUrl;mediaPath;caption;ocrConfidence;reviewStatus
6;2025-03-17;Этот сезон НХЛ - уникальный: домашний матч «Каролины» против «Тампа-Бэй» перенесли из-за НЕГО, а матч «Лос-Анджелеса» против «Калгари» перенесли из-за НИХ. Как иронично. Назовите ЕГО и ИХ.;Ураган и пожары;6;https://t.me/simple_quiz/6?comment=6;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/6;telegram_archive/media/post_0006_photo_01.jpg;После того, как я зарелизил пилотный квиз и рассказал, что я его провел, многие просили прислать пак вопросов, чтобы поиграть самим. Здесь будут периодически появляться вопросы из прошедших квизов. Поштормить и поугадывать правильный ответ можно в комментах. Единственная просьба: если вы были на квизе и слышали правильный ответ – воздержитесь от написания правильного ответа.;0.9424;Ответ подтверждён реакцией канала
7;2025-03-21;Если ты любитель спорта, то в Америке тебе не удастся сходить на рэп, поп или фолк, зато можно сходить на рок, на ИКС и на ИГРЕК. Назовите ИКС и ИГРЕК. о;«Юта Джаз» и «Сент-Луис Блюз»;10;https://t.me/simple_quiz/7?comment=10;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/7;telegram_archive/media/post_0007_photo_01.jpg;Пакет второго «Симпл Квиза» готов! Скоро расскажем вам о том, когда и где можно будет в него сыграть. А пока ловите еще один вопрос с пилотной игры.;0.9414;Ответ подтверждён реакцией канала
17;2025-04-09;Рядом с ЭТИМ на футбольных матчах с 2020 года красуется цифра 5, с 2013 года - 4, с 2006 года - 3, с 2000 года - 2. А вообще ЭТО фигурирует в трансляциях некоторых футбольных матчей с 1995 года. О чем речь?;PS (PlayStation);27;https://t.me/simple_quiz/17?comment=27;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/17;telegram_archive/media/post_0017_photo_01.jpg;А пока мы готовим афишу и все-все-все, что нужно знать про новый ивент, держите один из вопросов с предыдущего квиза. Напомню правила: если вы были на игре, не пишите версии в чат (или прячьте их под спойлер);0.9459;Ответ подтверждён реакцией канала
19;2025-04-18;Первая ОНА появились в России в 2001 году. Сейчас ИХ более 40 в Москве и Московской области. Ав 2018 году благодаря паре русских футболистов одна из НИХ на протяжении нескольких месяцев регулярно появлялась в новостных каналах и пабликах. Назовите EE.;Кофемания;30;https://t.me/simple_quiz/19?comment=30;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/19;telegram_archive/media/post_0019_photo_01.jpg;Новый «Симпл Квиз» уже в понедельник! А пока ловите вопрос с предыдущего квиза Вот тут – вся информация о том, где, чего и как, а записаться можно в личке у @iamkirian;0.9548;Ответ подтверждён реакцией канала
35;2025-04-28;В одной легендарной московской команде середины 2000-х было два русских спортсмена с редко встречающимися фамилиями. Одна из них дословно означает пузо или желудок. Другая - верхние листы кочана капусты. Впоследствии оба поиграли на другом материке, но доигрывали последние годы карьеры в российских клубах. Назовите фамилии этих спортсменов.;Моня и Хряпа;;;;user_correction;Уточнение пользователя;53;https://t.me/simple_quiz/35;telegram_archive/media/post_0035_photo_01.jpg;Знатоки редких фамилий тут?;0.9536;Ответ подтверждён пользователем
50;2025-05-21;В треке AJ Tracey 2017 года под названием You Don’t Know Ме упоминается экс-игрок нескольких клубов АПЛ Виктор Ваньяма. Главной звездой баскетбольного «Сан-Антонио» является Виктор Вембаньяма. Помимо схожести имен и фамилий в биографиях этих спортсменов есть еще одно слово, которое их объединяет. Предмет, который обозначает это слово, изобрели еще до нашей эры. В основе этого приспособления - колесико, которое может быть покрыто зубчиками. Назовите это слово.;;;;;;;;https://t.me/simple_quiz/50;telegram_archive/media/post_0050_photo_01.jpg;По классике – версии пишем под спойлером;0.9524;Распознано — проверить ответ
127;2025-06-25;В 2014 году 21-летняя испанка Гарбинье Мугуруса сенсационно выбила из сетки «Ролан Гаррос» Серену Уильямс и добралась до до четвертьфинала турнира «Большого шлема». На сайте Eurosport.ru вышел пост с фактами про Гарбинье. Назывался он так: «Мугуруса, ПРОПУСК». Заголовок - аллюзия на популярную в середине 20 века фразу: она не раз звучала в самом известном фильме про пионеров. Какие два слова мы пропустили в заголовке текста на Eurosport.ru?;А что вы тут делаете, а?;223;https://t.me/simple_quiz/127?comment=223;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/127;telegram_archive/media/post_0127_photo_01.jpg;Олды, читавшие «Евроспорт» в 2014 году, тут? @simple_quiz;0.9424;Ответ подтверждён реакцией канала
130;2025-06-26;Было бы символично, если бы ИКС ИГРЕК играл за ЗЕТ ИКС, но нет: в США он выступал лишь за одну команду. Назовите ИКС. Если вы знаете, что за песня Queen играла в рекламе Coca-Cola, вам, скорее всего, будет проще справиться с этим вопросом.;Мэджик;239;https://t.me/simple_quiz/130?comment=239;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/130;telegram_archive/media/post_0130_photo_01.jpg;Наверное, один из наших любимых вопросов с минувшего «Симпл Квиза» Для вновь прибывших – коротко о правилах: пишем версии ответа в комментарии исключительно под спойлером (вот так), чтобы не портить кайф от отгадывания другим 💙 @simple_quiz;0.9566;Ответ подтверждён реакцией канала
141;2025-06-29;ЭТО есть как минимум в двух экземплярах у каждого профессионального клуба. ЭТО было и в названии одного из клубов НБА, нос 2012 года не фигурирует в нем. О чем речь?;Джерси;252;https://t.me/simple_quiz/141?comment=252;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/141;telegram_archive/media/post_0141_photo_01.jpg;На этом квизе был специальный вопрос от наших друзей из «ХОДУ». Заскакивайте к ним в магазин или выбирайте редкие тишки онлайн: в их магазине ассортимент просто пушечный, а качество джерсаков – вышка. Напоминаем, что в комментариях мы пишем версии ответов на вопрос под спойлером – давайте не будем ломать кайфы от отгадывания друг другу! @simple_quiz;0.9559;Ответ подтверждён реакцией канала
142;2025-06-30;Назовите команду МФЛ, которая всегда располагается в таблице на 22-м месте.;Титан;255;https://t.me/simple_quiz/142?comment=255;«Симпл Квиз» | Минута на обсуждение;channel_reaction;;;https://t.me/simple_quiz/142;telegram_archive/media/post_0142_photo_01.jpg;Есть ли тут знатоки медиалиги? Напоминаем, что в комментариях мы пишем версии ответов на вопрос под спойлером – давайте не будем ломать кайфы от отгадывания друг другу! @simple_quiz;0.9526;Ответ подтверждён реакцией канала
